"Repo Name","Star","URLs"
"SpoonLabs","1","https://github.com/SpoonLabs/SpoonLabs.github.io/blob/44813cc6dec4d552eb80d48fb943c19eb105b364/mvnsites/spoon-core/apidocs/allclasses-index.html
https://github.com/SpoonLabs/spoon-ci-data/blob/1ad976bcf25cbadd4ebdc7fd01da0b6b1c073034/surefire-reports/TEST-spoon.processing.ProcessingTest.xml"
"xzel23","0","https://github.com/xzel23/cabe/blob/1b7ba485749ae942d1cdfd3c8a0664daed098eed/cabe-gradle-plugin/src/main/java/com/dua3/cabe/spoon/notnull/CabeAnnotationsNotNullProcessor.java"
"INRIA","1.3k","https://github.com/INRIA/spoon/blob/2a32ea4260698f186bb4844ee1f32707fe482f3d/src/test/java/spoon/reflect/ast/CloneTest.java"
"SpoonLabs","0","https://github.com/SpoonLabs/spoon-ci-data/blob/9d81fb8f8be9b89d376a928ab217d38aaac5b37e/spoon-public-methods.txt"
"algomaster99","0","https://github.com/algomaster99/diffmin-examples/blob/d241d23175f97c371810726319d2f45e03d2e29c/docs/spoon%234401%23504196f.html"
"INRIA","1.3k","https://github.com/INRIA/spoon/blob/fa6b014eb01b8c306df72510c459f56d53bee771/src/main/java/spoon/support/StandardEnvironment.java"
"MartinWitt","2","https://github.com/MartinWitt/laughing-train/blob/ccd4517fde33b1cc3d188d7953321454b8b6e819/code-transformation/src/test/java/xyz/keksdose/spoon/code_solver/TransformationHelper.java"
"Anooxi","0","https://github.com/Anooxi/TP5/blob/3786321d89bcc45c51be15beb93c621cca1c2a62/src/main/java/spoon/processor/LoggerProcess.java"
"MartinWitt","2","https://github.com/MartinWitt/laughing-train/blob/757334fcf0d0dd1a69851ee91ed9f2541d25126a/code-transformation/src/main/java/xyz/keksdose/spoon/code_solver/formatting/ImportGrouper.java"
"wendellmfm","0","https://github.com/wendellmfm/bohr-aoc-api/blob/8ec61d9ecf76edd23064094c78f61bd806e2dfa1/src/main/java/br/ufc/mdcc/bohr/finder/ArithmeticAsLogicFinder.java
https://github.com/wendellmfm/bohr-aoc-api/blob/8ec61d9ecf76edd23064094c78f61bd806e2dfa1/src/main/java/br/ufc/mdcc/bohr/finder/OmittedCurlyBracesFinder.java
https://github.com/wendellmfm/bohr-aoc-api/blob/8ec61d9ecf76edd23064094c78f61bd806e2dfa1/src/main/java/br/ufc/mdcc/bohr/finder/InfixOperatorPrecedenceFinder.java
https://github.com/wendellmfm/bohr-aoc-api/blob/8ec61d9ecf76edd23064094c78f61bd806e2dfa1/src/main/java/br/ufc/mdcc/bohr/finder/TypeConversionFinder.java
https://github.com/wendellmfm/bohr-aoc-api/blob/8ec61d9ecf76edd23064094c78f61bd806e2dfa1/src/main/java/br/ufc/mdcc/bohr/finder/RepurposedVariablesFinder.java
https://github.com/wendellmfm/bohr-aoc-api/blob/8ec61d9ecf76edd23064094c78f61bd806e2dfa1/src/main/java/br/ufc/mdcc/bohr/finder/ChangeOfLiteralEncodingFinder.java
https://github.com/wendellmfm/bohr-aoc-api/blob/8ec61d9ecf76edd23064094c78f61bd806e2dfa1/src/main/java/br/ufc/mdcc/bohr/finder/LogicAsControlFlowFinder.java
https://github.com/wendellmfm/bohr-aoc-api/blob/8ec61d9ecf76edd23064094c78f61bd806e2dfa1/src/main/java/br/ufc/mdcc/bohr/finder/ConditionalOperatorFinder.java
https://github.com/wendellmfm/bohr-aoc-api/blob/8ec61d9ecf76edd23064094c78f61bd806e2dfa1/src/main/java/br/ufc/mdcc/bohr/finder/PreAndPostIncrementDecrementFinder.java"
"ngocpq","0","https://github.com/ngocpq/astor-smfix/blob/fc5668aebc9aec57d4c4d234ab546dff590695ee/src/main/java/fr/inria/astor/core/manipulation/filters/TargetElementProcessor.java
https://github.com/ngocpq/astor-smfix/blob/fc5668aebc9aec57d4c4d234ab546dff590695ee/src/main/java/fr/inria/astor/core/faultlocalization/bridgeFLSpoon/SpoonElementPointer.java
https://github.com/ngocpq/astor-smfix/blob/fc5668aebc9aec57d4c4d234ab546dff590695ee/src/main/java/fr/inria/astor/core/faultlocalization/cocospoon/CocoFaultLocalization.java
https://github.com/ngocpq/astor-smfix/blob/fc5668aebc9aec57d4c4d234ab546dff590695ee/src/main/java/fr/inria/astor/core/solutionsearch/spaces/ingredients/CodeParserLauncher.java
https://github.com/ngocpq/astor-smfix/blob/fc5668aebc9aec57d4c4d234ab546dff590695ee/src/main/java/fr/inria/astor/core/manipulation/bytecode/compiler/SpoonClassCompiler.java
https://github.com/ngocpq/astor-smfix/blob/fc5668aebc9aec57d4c4d234ab546dff590695ee/src/main/java/fr/inria/astor/core/faultlocalization/bridgeFLSpoon/SpoonLauncher.java"
